Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
NOVS1228,71,40,31,26,40,0.366197183,0.563380282,0.405405405,0.594594595,0.379310345,0.620689655,0.189189189,0.24137931,0.197183099,0.075,0.064516129,22,15,18,11,1127.229545,1328.993333,815.7997222,1140.589545,1327.297375,1071.776452,20,14,0.7,0.7,0.7,0.6,0.8,0.6,0.8,788.027,1271.383,663.396,1278.813,912.658,1263.953,0.115318298
NOVS1218,71,40,31,19,38,0.267605634,0.535211268,0.516129032,0.483870968,0.115384615,0.884615385,-0.032258065,0.769230769,0.267605634,0.225,0.161290323,15,16,23,3,1742.311333,1573.302188,948.5328261,1247.695,1836.340875,1269.262258,19,13,0.6,0.777777778,0.684210526,0.4,0.8,1,0.6,2107.921111,1876.412,2565.932,1997.498,1535.4075,1755.326,0.167068481
NOVS1219,69,39,30,26,33,0.376811594,0.47826087,0.542857143,0.457142857,0.291666667,0.708333333,-0.085714286,0.416666667,0.101449275,0.102564103,0.2,16,19,17,7,633.954375,983.8257895,1188.064118,811.13,848.7130769,1248.871,20,13,0.7,0.6,0.65,0.6,0.8,0.6,0.6,1177.5935,843.1565,1804.321,544.879,550.866,1141.434,0.263175964
NOVS1204,69,39,30,20,46,0.289855072,0.666666667,0.513513514,0.486486486,0.034482759,0.965517241,-0.027027027,0.931034483,0.376811594,0.051282051,0.033333333,18,19,28,1,904.0427778,826.6434211,662.9708929,2150.26,956.8446154,794.2831667,19,12,0.5,0.777777778,0.631578947,0.2,0.8,0.75,0.8,1171.287778,844.1405,957.67,528.466,1438.31,1159.815,0.359283447
NOVS1223,66,39,27,18,44,0.272727273,0.666666667,0.444444444,0.555555556,0.076923077,0.923076923,0.111111111,0.846153846,0.393939394,0.076923077,0.037037037,20,16,24,2,1063.733,1311.4925,803.3322917,1813.575,1226.032692,958.8190741,19,12,0.555555556,0.7,0.631578947,0.25,0.8,0.4,1,1162.091,2197.361111,776.747,1982.823,1547.435,2465.53375,0.359283447
NOVS1213,57,33,24,13,35,0.228070175,0.614035088,0.423076923,0.576923077,0.090909091,0.909090909,0.153846154,0.818181818,0.385964912,0.212121212,0.083333333,15,11,20,2,715.997,725.1040909,538.53875,790.6675,741.6959091,697.6677083,16,10,0.75,0.5,0.625,1,0.5,0.2,1,944.2675,929.7425,358.4566667,1326.00625,1295.754,533.47875,0.454498291
NOVS1227,55,28,27,29,26,0.527272727,0.472727273,0.607142857,0.392857143,0.444444444,0.555555556,-0.214285714,0.111111111,-0.054545455,0,0,11,17,15,12,1052.979091,776.0538235,725.496,1227.01,884.8458929,948.3911111,13,8,0.666666667,0.571428571,0.615384615,0.333333333,1,1,0.25,838.5364286,1455.9725,847.445,1522.675,826.6583334,1389.27,0.581054688
NOVS1224,58,31,27,26,31,0.448275862,0.534482759,0.548387097,0.451612903,0.346153846,0.653846154,-0.096774194,0.307692308,0.086206897,0,0.037037037,14,17,17,9,1384.895357,1760.951765,1364.083529,1886.25,1591.119839,1653.834444,18,11,0.5,0.75,0.611111111,0.6,0.4,0.6,1,2010.320625,1558.0225,1509.241667,1915.378,2310.968,1200.667,0.480682373
NOVS1208,70,39,31,19,50,0.271428571,0.714285714,0.5,0.5,0,1,0,1,0.442857143,0.025641026,0,19,19,31,0,1093.020789,1178.632632,891.9201613,nan,1147.372308,891.9201613,20,12,0.5,0.7,0.6,0.4,0.6,0.4,1,1113.984,1644.3435,847.081,2235.117,1380.887,1053.57,0.503444672
NOVS1202,67,36,31,33,34,0.492537313,0.507462687,0.472222222,0.527777778,0.516129032,0.483870968,0.055555556,-0.032258065,0.014925373,0,0,19,17,15,16,823.0926316,1105.694412,641.0003333,965.881875,956.5434722,808.681129,17,10,0.8,0.285714286,0.588235294,0.8,0.8,0.333333333,0.25,761.7228571,842.176,669.54125,704.677,884.6316667,979.675,0.629058838
NOVS1211,65,38,27,39,26,0.6,0.4,0.684210526,0.315789474,0.481481481,0.518518519,-0.368421053,0.037037037,-0.2,0,0,12,26,14,13,1292.019583,1923.960385,1736.039643,1271.319231,1724.400132,1512.28537,18,10,0.5,0.625,0.555555556,0.4,0.6,0.5,0.75,2104.1425,1586.618,1668.15625,1951.16,2540.12875,1222.076,0.814529419
NOVS1217,59,37,22,25,34,0.423728814,0.576271186,0.486486486,0.513513514,0.318181818,0.681818182,0.027027027,0.363636364,0.152542373,0,0,19,18,15,7,1611.310526,1764.388611,1297.349667,2494.175714,1685.780946,1678.157955,18,10,0.555555556,0.555555556,0.555555556,0.25,0.8,0.5,0.6,2047.272222,1337.277222,2467.021,1637.592,1522.58625,961.88375,0.814529419
NOVS1225,63,35,28,27,36,0.428571429,0.571428571,0.4,0.6,0.464285714,0.535714286,0.2,0.071428571,0.142857143,0,0,21,14,15,13,1822.963571,2004.994286,1493.005667,1813.346923,1895.775857,1641.735536,18,10,0.444444444,0.666666667,0.555555556,0.6,0.25,0.75,0.6,1872.357222,1358.807222,1387.857,1810.73,2477.9825,997.269,0.814529419
