Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
NOVS1625,80,40,40,5,21,0.0625,0.2625,0.307692308,0.692307692,0.076923077,0.923076923,0.384615385,0.846153846,0.2,0.675,0.675,9,4,12,1,996.2494444,2577.1325,880.18125,1066.8,2524.24325,2289.127875,20,1,0.1,0,0.05,0.2,0,0,0,5254.6745,3243.7615,9374.732,3437.726,1134.617,3049.797,4.01E-05
NOVS1611,80,40,40,40,40,0.5,0.5,0.55,0.45,0.45,0.55,-0.1,0.1,0,0,0,18,22,22,18,1635.949167,3098.476136,2346.631818,2110.527222,2440.339,2240.38475,20,6,0.3,0.3,0.3,0,0.6,0.4,0.2,2146.486,1981.2395,2339.531,1627.258,1953.441,2335.221,0.115318298
NOVS1627,80,40,40,7,28,0.0875,0.35,0.666666667,0.333333333,0.038461538,0.961538462,-0.333333333,0.923076923,0.2625,0.775,0.35,3,6,25,1,403.3616667,629.3433333,613.4312,3802.83,2696.21075,977.693625,20,6,0.2,0.4,0.3,0,0.4,0.2,0.6,7184.8795,1381.524,802.036,1504.66,13567.723,1258.388,0.115318298
NOVS1636,80,40,40,24,39,0.3,0.4875,0.466666667,0.533333333,0.303030303,0.696969697,0.066666667,0.393939394,0.1875,0.25,0.175,16,14,23,10,3851.706562,4132.618214,2132.74913,3989.5645,4403.207125,12175.68313,20,6,0,0.6,0.3,0,0,0.6,0.6,2250.307,1892.4705,1181.466,2041.975,3319.148,1742.966,0.115318298
NOVS1605,80,40,40,29,38,0.3625,0.475,0.411764706,0.588235294,0.454545455,0.545454545,0.176470588,0.090909091,0.1125,0.15,0.175,20,14,18,15,2408.114,3660.988214,2249.148056,2866.611,2869.95875,2839.461625,20,7,0.5,0.2,0.35,0.8,0.2,0.2,0.2,3308.7475,3286.4895,3795.092,4610.213,2822.403,1962.766,0.263175964
NOVS1606,80,40,40,19,36,0.2375,0.45,0.48,0.52,0.233333333,0.766666667,0.04,0.533333333,0.2125,0.375,0.25,13,12,23,7,1986.751923,2080.93125,1619.581739,2846.816429,2551.960125,1949.159375,20,7,0.3,0.4,0.35,0.2,0.4,0.8,0,2519.9755,5136.2115,2667.937,3393.68,2372.014,6878.743,0.263175964
NOVS1621,80,40,40,26,46,0.325,0.575,0.361111111,0.638888889,0.361111111,0.638888889,0.277777778,0.277777778,0.25,0.1,0.1,23,13,23,13,2672.39913,1504.360385,2445.052826,2988.630769,2166.768875,2577.94075,20,7,0.5,0.2,0.35,0.4,0.6,0,0.4,2043.364,2556.672,2615.078,3809.551,1471.65,1303.793,0.263175964
NOVS1609,80,40,40,21,21,0.2625,0.2625,0.636363636,0.363636364,0.35,0.65,-0.272727273,0.3,0,0.45,0.5,8,14,13,7,873.868125,3037.290357,2236.786923,2309.898571,2692.4805,2524.7335,20,8,0.5,0.3,0.4,0.2,0.8,0.2,0.4,2033.739,1747.247,2286.788,1137.495,1780.69,2356.999,0.503444672
NOVS1630,80,40,40,15,34,0.1875,0.425,0.470588235,0.529411765,0.21875,0.78125,0.058823529,0.5625,0.2375,0.575,0.2,9,8,25,7,1476.313889,1450.599375,4428.1464,3387.047857,2475.712125,4015.338625,20,8,0.5,0.3,0.4,0.6,0.4,0.4,0.2,16127.681,2361.1415,29173.614,1594.542,3081.748,3127.741,0.503444672
NOVS1634,80,40,40,31,43,0.3875,0.5375,0.459459459,0.540540541,0.378378378,0.621621622,0.081081081,0.243243243,0.15,0.075,0.075,20,17,23,14,1172.13025,1061.094412,1364.350652,863.2907143,1342.665875,1171.51125,20,8,0.3,0.5,0.4,0.4,0.2,0.2,0.8,742.3295,853.4715,669.6789999,685.1680001,814.98,1021.775,0.503444672
NOVS1600,64,32,32,19,35,0.296875,0.546875,0.333333333,0.666666667,0.37037037,0.62962963,0.333333333,0.259259259,0.25,0.15625,0.15625,18,9,17,10,2303.796667,1769.798333,1158.357059,2517.7125,2116.551719,1714.994844,16,7,0.375,0.5,0.4375,0.75,0,0.25,0.75,2242.380625,1540.360625,1078.1725,1475.815,3406.58875,1604.90625,0.803619385
NOVS1607,80,40,40,17,46,0.2125,0.575,0.419354839,0.580645161,0.125,0.875,0.161290323,0.75,0.3625,0.225,0.2,18,13,28,4,2017.995556,2079.336538,1384.327143,2542.7375,2917.949,1782.12825,20,9,0.3,0.6,0.45,0.2,0.4,0.2,1,1734.4575,7445.9185,1354.648,13334.116,2114.267,1557.721,0.823802948
NOVS1618,80,40,40,20,40,0.25,0.5,0.642857143,0.357142857,0.0625,0.9375,-0.285714286,0.875,0.25,0.3,0.2,10,18,30,2,2889.196,3462.151944,3222.263,11845.38,3338.72575,3843.5575,20,9,0.4,0.5,0.45,0.6,0.2,0.2,0.8,2616.3625,2978.251,1212.23,3674.521,4020.495,2281.981,0.823802948
