Note 2,Note 3,Note 4,Note 5,Major and Minor triads,Unique Step Sizes,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Generic 2nds,Generic 3rds,Generic 4ths,Imperfections,Sameness Quotient,Coherence Quotient,Stackable with 3rds,Scalar Pentachord,Subset of Diatonic,Diatonic Parents,Harmonic Minor Parents,Melodic Minor Parents,Total Parents,Consecutive semitones,Spread Unevenness,Polygon Area,Subset of MOLT,Unique Diads,Total Diads,# Triads,Unique Trichords,Total Trichords,Dissonance Min,Dissonance Max,Dissonance Median,Semitone Set Violations,# Segments,Motive Strength,Scale Degree Clarity,Levenshtein Distance Pentatonic,Levenshtein Distance Diatonic,Score
1,2,3,4,0,2,4,3,2,1,0,0,7,3,0,5,0.5,0.4,0,1,0,0,0,0,0,4,1,0.180477662,1,4,10,3,6,10,0.60187488,1.246717188,0.658328251,2,2,5,0,4,5,0.207757576
1,2,3,5,0,3,3,3,2,1,1,0,6,3,1,4,0.2,0.16,0,1,0,0,0,0,0,3,0.821428571,0.296987167,1,5,13,5,8,12,0.539146757,1.065191411,0.539146757,4,3,4,0.2,3,4,0.090705882
1,2,3,6,0,3,3,2,2,1,1,1,5,3,2,4,0.2,0.08,0,0,0,0,0,0,0,3,0.75,0.397887358,2,6,13,5,9,10,0.440917287,0.946994522,0.440917287,4,3,4,0.4,3,4,0.255935484
1,2,3,7,1,3,3,2,1,1,2,1,5,2,3,3,0.2,0.2,0,0,0,0,0,0,0,3,0.75,0.45614211,2,6,13,5,9,10,0.392072092,0.892170109,0.392072092,4,3,4,0.2,3,4,0.089666667
1,2,4,5,0,3,3,2,2,2,1,0,5,4,1,4,0.25,0.32,0,1,0,0,0,0,0,2,0.821428571,0.296987167,2,5,12,4,9,10,0.543872235,0.969104015,0.543872235,4,4,4,0.4,3,4,0.172342857
1,2,4,6,0,3,2,3,1,2,1,1,5,3,2,4,0.1,0.16,0,1,0,0,0,0,0,2,0.642857143,0.434819391,3,6,14,5,9,12,0.446266917,0.841794162,0.446266917,6,3,3,0.8,2,3,0.1276
1,2,4,7,1,4,2,2,2,1,2,1,4,3,3,3,0.05,0.2,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,6,17,5,10,10,0.370406429,0.757525799,0.370406429,6,4,3,0.6,2,3,0.178645161
1,2,4,8,1,3,2,2,1,3,1,1,4,4,2,4,0.1,0.2,0,0,0,0,0,0,0,2,0.571428571,0.572651615,3,6,16,5,10,12,0.340724379,0.719416728,0.340724379,6,3,3,0.8,3,4,0.166516129
1,2,5,6,0,3,3,1,1,2,2,1,4,3,3,3,0.25,0.32,0,0,0,0,0,0,0,2,0.75,0.397887358,3,6,11,4,9,10,0.445391941,0.796294783,0.445391941,4,4,4,0.8,3,3,0.211142857
1,2,5,7,0,4,2,2,1,1,3,1,4,2,4,2,0.05,0.28,0,0,0,0,0,0,0,2,0.571428571,0.535719582,2,6,16,5,9,12,0.365289694,0.698078709,0.365289694,6,4,3,0.6,2,4,0.071575758
1,2,5,8,2,3,2,1,2,2,2,1,3,4,3,3,0.1,0.44,0,0,0,0,0,0,0,2,0.5,0.615297053,3,6,13,5,10,10,0.307266072,0.629646201,0.307266072,6,3,3,0.8,2,3,0.077294118
1,2,6,7,0,3,3,1,0,1,3,2,4,1,5,2,0.25,0.52,0,0,0,0,0,0,0,2,0.75,0.45614211,4,5,15,4,7,15,0.395108078,0.714846213,0.395108078,4,4,4,0.6,3,3,0.0568125
1,2,6,8,0,3,2,2,0,2,2,2,4,2,4,3,0.2,0.6,0,0,0,0,0,0,0,2,0.571428571,0.572651615,5,5,14,5,8,14,0.327971493,0.627707238,0.327971493,6,4,3,0.8,2,3,0.153090909
1,3,4,5,0,3,3,2,2,2,1,0,5,4,1,4,0.25,0.32,0,1,0,0,0,0,0,2,0.821428571,0.296987167,2,5,12,4,9,10,0.469173046,0.967532934,0.661679045,4,4,4,0.2,3,4,0.159354839
1,3,4,6,0,3,2,2,3,1,1,1,4,4,2,4,0.25,0.4,0,1,0,0,1,1,2,1,0.642857143,0.434819391,2,6,11,5,9,10,0.419262149,0.81188151,0.543732115,6,5,5,0.8,3,3,0.126068966
1,3,4,7,2,4,2,1,3,2,1,1,3,5,2,4,0.1,0.28,0,0,0,0,0,0,0,1,0.571428571,0.535719582,3,6,14,5,9,12,0.36229624,0.71062061,0.448751367,6,5,3,0.8,3,4,0.2451875
1,3,4,8,2,3,2,1,2,3,2,0,3,5,2,3,0.2,0.32,1,0,0,0,1,1,2,1,0.571428571,0.572651615,2,5,13,5,10,12,0.339518462,0.665052415,0.408351499,6,4,3,0.8,2,3,0.145241379
1,3,5,6,0,3,2,2,2,1,2,1,4,3,3,3,0.2,0.4,0,1,1,1,1,0,2,1,0.642857143,0.434819391,2,6,11,5,10,10,0.40998491,0.762140371,0.548927667,6,4,3,1,2,2,0.22975
