,type,manipulation,subject,bias,rt,rt_type,pc_decoy,shifted-swapped,pc_decoy_at_condition,decoy_rt_type,decoy_rt_at_condition
0,chromatic,contour,NOVS0800,0.384615385,1522.334667,1673.147179,0.444444444,0.230769231,0.4,1157.5135,1170.627
1,chromatic,pitch,NOVS0800,0.615384615,1767.405,1673.147179,0.444444444,0.230769231,0.6,1157.5135,1144.4
2,diatonic,contour,NOVS0800,0.588235294,1353.4015,1389.643529,0.444444444,-0.176470588,0.4,1332.333125,978.2116667
3,diatonic,pitch,NOVS0800,0.411764706,1441.417857,1389.643529,0.444444444,-0.176470588,0.333333333,1332.333125,1544.806
4,chromatic,contour,NOVS0804,0.65625,1000.701667,1249.047625,0.526315789,-0.3125,0.4,951.4255,713.999
5,chromatic,pitch,NOVS0804,0.34375,856.0895455,1249.047625,0.526315789,-0.3125,0.4,951.4255,1188.852
6,diatonic,contour,NOVS0804,0.428571429,1181.25,962.5644444,0.526315789,0.142857143,0.25,744.2433333,1096.268
7,diatonic,pitch,NOVS0804,0.571428571,688.155,962.5644444,0.526315789,0.142857143,1.0,744.2433333,304.2125
8,chromatic,contour,NOVS0805,0.612903226,913.0073684,1375.455417,0.4,-0.225806452,0.2,833.494,687.746
9,chromatic,pitch,NOVS0805,0.387096774,1547.700833,1375.455417,0.4,-0.225806452,0.4,833.494,979.242
10,diatonic,contour,NOVS0805,0.181818182,1882.39625,1194.546304,0.4,0.636363636,0.2,1345.1455,1010.761
11,diatonic,pitch,NOVS0805,0.818181818,965.0277778,1194.546304,0.4,0.636363636,0.8,1345.1455,1679.53
12,chromatic,contour,NOVS0807,0.684210526,976.4386538,1035.600789,0.894736842,-0.368421053,1.0,976.493,991.803
13,chromatic,pitch,NOVS0807,0.315789474,1163.785417,1035.600789,0.894736842,-0.368421053,0.8,976.493,961.183
14,diatonic,contour,NOVS0807,0.423076923,703.3277273,975.4792308,0.894736842,0.153846154,0.75,1007.57,978.954
15,diatonic,pitch,NOVS0807,0.576923077,1175.057,975.4792308,0.894736842,0.153846154,1.0,1007.57,1043.34
16,chromatic,contour,NOVS0808,0.454545455,1263.488,1151.959324,0.5,0.090909091,0.2,1732.4435,1495.667
17,chromatic,pitch,NOVS0808,0.545454545,711.3120833,1151.959324,0.5,0.090909091,1.0,1732.4435,1969.22
18,diatonic,contour,NOVS0808,0.19047619,846.9725,961.6379545,0.5,0.619047619,0.0,1222.392,1136.402
19,diatonic,pitch,NOVS0808,0.80952381,825.2976471,961.6379545,0.5,0.619047619,0.8,1222.392,1308.382
20,chromatic,contour,NOVS0809,0.413793103,1426.800417,1740.571515,0.75,0.172413793,0.666666667,1133.444167,1323.308333
21,chromatic,pitch,NOVS0809,0.586206897,1739.674118,1740.571515,0.75,0.172413793,0.333333333,1133.444167,943.58
22,diatonic,contour,NOVS0809,0.181818182,2093.4775,1653.258125,0.75,0.636363636,0.8,1317.903,918.032
23,diatonic,pitch,NOVS0809,0.818181818,1533.095556,1653.258125,0.75,0.636363636,1.0,1317.903,1717.774
24,chromatic,contour,NOVS0810,0.571428571,2245.225,1856.545571,0.315789474,-0.142857143,0.75,1776.768889,1946.894
25,chromatic,pitch,NOVS0810,0.428571429,1601.857222,1856.545571,0.315789474,-0.142857143,0.4,1776.768889,1564.1125
26,diatonic,contour,NOVS0810,0.3,2068.313333,1807.566765,0.315789474,0.4,0.0,1836.437,1826.214
27,diatonic,pitch,NOVS0810,0.7,1746.009286,1807.566765,0.315789474,0.4,0.2,1836.437,1846.66
28,chromatic,contour,NOVS0811,0.666666667,1276.68275,1630.414865,0.5,-0.333333333,0.6,2166.815556,1364.84625
29,chromatic,pitch,NOVS0811,0.333333333,2587.7665,1630.414865,0.5,-0.333333333,0.5,2166.815556,2808.391
30,diatonic,contour,NOVS0811,0.4,1782.054167,1694.645,0.5,0.2,0.0,1332.681667,1263.099
31,diatonic,pitch,NOVS0811,0.6,1509.12,1694.645,0.5,0.2,0.8,1332.681667,1419.66
32,chromatic,contour,NOVS0813,0.717948718,555.4333928,600.4588461,0.578947368,-0.435897436,0.6,965.9722222,1463.1075
33,chromatic,pitch,NOVS0813,0.282051282,715.0690909,600.4588461,0.578947368,-0.435897436,0.25,965.9722222,568.264
34,diatonic,contour,NOVS0813,0.7,764.7389286,784.942,0.578947368,-0.4,0.6,834.365,599.231
35,diatonic,pitch,NOVS0813,0.3,832.0825,784.942,0.578947368,-0.4,0.8,834.365,1069.499
36,chromatic,contour,NOVS0814,0.666666667,1233.14,1338.20475,0.529411765,-0.333333333,1.0,1222.872222,1585.60375
37,chromatic,pitch,NOVS0814,0.333333333,1427.075,1338.20475,0.529411765,-0.333333333,0.0,1222.872222,932.687
38,diatonic,contour,NOVS0814,0.823529412,1500.9075,1631.046944,0.529411765,-0.647058824,0.5,1708.38375,2222.115
39,diatonic,pitch,NOVS0814,0.176470588,1800.253333,1631.046944,0.529411765,-0.647058824,0.5,1708.38375,1194.6525
40,chromatic,contour,NOVS0815,0.516129032,1008.25625,1217.276667,0.470588235,-0.032258065,0.25,1120.458889,1057.139
41,chromatic,pitch,NOVS0815,0.483870968,999.9866667,1217.276667,0.470588235,-0.032258065,0.6,1120.458889,1199.60875
42,diatonic,contour,NOVS0815,0.277777778,1955.12,1105.952273,0.470588235,0.444444444,0.5,1958.906875,1978.57
43,diatonic,pitch,NOVS0815,0.722222222,842.8161538,1105.952273,0.470588235,0.444444444,0.5,1958.906875,1939.24375
44,chromatic,contour,NOVS0817,0.513513514,1119.327632,1091.107368,0.75,-0.027027027,0.6,1164.838,1213.937
45,chromatic,pitch,NOVS0817,0.486486486,1068.846667,1091.107368,0.75,-0.027027027,0.8,1164.838,1115.739
46,diatonic,contour,NOVS0817,0.3,1075.47,839.33175,0.75,0.4,0.6,980.6645,833.896
47,diatonic,pitch,NOVS0817,0.7,738.1296428,839.33175,0.75,0.4,1.0,980.6645,1127.433
48,chromatic,contour,NOVS0819,0.648648649,1072.565833,1132.403026,0.764705882,-0.297297297,0.75,1281.2125,1113.635
49,chromatic,pitch,NOVS0819,0.351351351,1145.874231,1132.403026,0.764705882,-0.297297297,0.75,1281.2125,1448.79
50,diatonic,contour,NOVS0819,0.263157895,1525.335,1131.213684,0.764705882,0.473684211,0.75,1159.647222,751.634
51,diatonic,pitch,NOVS0819,0.736842105,990.4560714,1131.213684,0.764705882,0.473684211,0.8,1159.647222,1669.66375
52,chromatic,contour,NOVS0822,0.625,906.7766667,1050.720769,0.35,-0.25,0.4,1215.9645,1363.197
53,chromatic,pitch,NOVS0822,0.375,1285.449444,1050.720769,0.35,-0.25,0.4,1215.9645,1068.732
54,diatonic,contour,NOVS0822,0.3,1066.619167,1051.414423,0.35,0.4,0.0,1700.2815,1541.901
55,diatonic,pitch,NOVS0822,0.7,632.1242857,1051.414423,0.35,0.4,0.6,1700.2815,1858.662
56,chromatic,contour,NOVS0824,0.6875,833.9129545,1097.527632,0.611111111,-0.375,0.4,1600.5165,1783.268
57,chromatic,pitch,NOVS0824,0.3125,1148.704,1097.527632,0.611111111,-0.375,0.8,1600.5165,1417.765
58,diatonic,contour,NOVS0824,0.6,822.6227778,1045.462105,0.611111111,-0.2,0.6,1509.966875,1908.201667
59,diatonic,pitch,NOVS0824,0.4,969.7483333,1045.462105,0.611111111,-0.2,0.666666667,1509.966875,1271.026
60,chromatic,contour,NOVS0825,0.571428571,1157.55525,1230.097143,0.588235294,-0.142857143,0.75,1273.06625,1555.65
61,chromatic,pitch,NOVS0825,0.428571429,1326.819667,1230.097143,0.588235294,-0.142857143,0.25,1273.06625,990.4825
62,diatonic,contour,NOVS0825,0.555555556,1843.079,1800.405278,0.588235294,-0.111111111,0.75,1494.148333,1725.151
63,diatonic,pitch,NOVS0825,0.444444444,1747.063125,1800.405278,0.588235294,-0.111111111,0.6,1494.148333,1205.395
64,chromatic,contour,NOVS0826,0.382352941,711.6803846,848.8132895,0.526315789,0.235294118,0.5,754.4205556,750.116
65,chromatic,pitch,NOVS0826,0.617647059,708.6378571,848.8132895,0.526315789,0.235294118,0.4,754.4205556,759.80125
66,diatonic,contour,NOVS0826,0.304347826,1311.242857,905.0028261,0.526315789,0.391304348,0.2,715.9635,554.507
67,diatonic,pitch,NOVS0826,0.695652174,727.2728125,905.0028261,0.526315789,0.391304348,1.0,715.9635,877.42
68,chromatic,contour,NOVS0827,0.551724138,556.669375,705.945625,0.444444444,-0.103448276,0.25,840.1844444,995.632
69,chromatic,pitch,NOVS0827,0.448275862,693.2442308,705.945625,0.444444444,-0.103448276,0.6,840.1844444,645.875
70,diatonic,contour,NOVS0827,0.8,1043.521667,934.3992105,0.444444444,-0.6,0.5,687.615,908.292
71,diatonic,pitch,NOVS0827,0.2,890.3183333,934.3992105,0.444444444,-0.6,0.4,687.615,411.76875
72,chromatic,contour,NOVS0828,0.621621622,952.6684783,1099.873243,0.6,-0.243243243,0.6,1262.672,1316.36
73,chromatic,pitch,NOVS0828,0.378378378,1341.709643,1099.873243,0.6,-0.243243243,0.6,1262.672,1208.984
74,diatonic,contour,NOVS0828,0.304347826,1610.911429,1087.029565,0.6,0.391304348,0.4,996.8535,1083.161
75,diatonic,pitch,NOVS0828,0.695652174,857.83125,1087.029565,0.6,0.391304348,0.8,996.8535,910.546
76,chromatic,contour,NOVS0829,0.458333333,1065.127727,1046.588,0.35,0.083333333,0.0,1422.171,1452.639
77,chromatic,pitch,NOVS0829,0.541666667,1169.576154,1046.588,0.35,0.083333333,0.2,1422.171,1391.703
78,diatonic,contour,NOVS0829,0.043478261,780.675,468.398125,0.35,0.913043478,0.4,764.7845,437.082
79,diatonic,pitch,NOVS0829,0.956521739,459.5922727,468.398125,0.35,0.913043478,0.8,764.7845,1092.487
80,chromatic,contour,NOVS0830,0.535714286,1244.997333,1688.672162,0.5,-0.071428571,0.5,1766.2825,1752.30125
81,chromatic,pitch,NOVS0830,0.464285714,1706.823077,1688.672162,0.5,-0.071428571,0.75,1766.2825,1780.26375
82,diatonic,contour,NOVS0830,0.294117647,948.577,1423.72675,0.5,0.411764706,0.4,1394.4335,1323.233
83,diatonic,pitch,NOVS0830,0.705882353,1117.557917,1423.72675,0.5,0.411764706,0.4,1394.4335,1465.634
84,chromatic,contour,NOVS0831,0.368421053,588.4442857,851.3019231,0.4,0.263157895,0.4,701.714,867.779
85,chromatic,pitch,NOVS0831,0.631578947,1009.534167,851.3019231,0.4,0.263157895,0.2,701.714,535.649
86,diatonic,contour,NOVS0831,0.095238095,1221.6475,655.0811905,0.4,0.80952381,0.4,1045.226,807.096
87,diatonic,pitch,NOVS0831,0.904761905,595.4426316,655.0811905,0.4,0.80952381,0.6,1045.226,1283.356
88,chromatic,contour,NOVS0833,0.846153846,442.5612121,560.7114103,0.75,-0.692307692,0.8,665.59,1001.315
89,chromatic,pitch,NOVS0833,0.153846154,1210.5375,560.7114103,0.75,-0.692307692,0.4,665.59,329.865
90,diatonic,contour,NOVS0833,0.869565217,782.75925,927.8728261,0.75,-0.739130435,1.0,653.59,1029.779
91,diatonic,pitch,NOVS0833,0.130434783,1895.296667,927.8728261,0.75,-0.739130435,0.8,653.59,277.401
92,chromatic,contour,NOVS0835,0.444444444,1628.91625,1559.31141,0.6,0.111111111,0.6,1289.7785,1255.369
93,chromatic,pitch,NOVS0835,0.555555556,1541.35325,1559.31141,0.6,0.111111111,0.6,1289.7785,1324.188
94,diatonic,contour,NOVS0835,0.166666667,1210.576667,1353.280227,0.6,0.666666667,0.4,1203.454,1058.596
95,diatonic,pitch,NOVS0835,0.833333333,1353.276667,1353.280227,0.6,0.666666667,0.8,1203.454,1348.312
96,chromatic,contour,NOVS0836,0.625,1348.865,1604.817778,0.55,-0.25,0.6,984.64,1077.497
97,chromatic,pitch,NOVS0836,0.375,1602.985,1604.817778,0.55,-0.25,0.4,984.64,891.783
98,diatonic,contour,NOVS0836,0.5,1291.055,1287.010526,0.55,0.0,0.4,2064.0765,2153.724
99,diatonic,pitch,NOVS0836,0.5,873.048125,1287.010526,0.55,0.0,0.8,2064.0765,1974.429
