Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,rt_diatonic_decoy,rt_chromatic_decoy,rt_diatonic_decoy_swapped,rt_chromatic_decoy_swapped,rt_diatonic_decoy_shifted,rt_chromatic_decoy_shifted,binom
NOVS0800,55,39,16,24,31,0.436363636,0.563636364,0.384615385,0.615384615,0.5625,0.4375,0.230769231,-0.125,0.127272727,0,0,24,15,7,9,1767.405,1522.334667,1441.417857,1478.995,1673.147179,1462.555,18,8,0.5,0.375,0.444444444,0.4,0.6,0.4,0.333333333,1332.333125,1157.5135,978.2116667,1170.627,1544.806,1144.4,0.814529419
NOVS0804,47,32,15,22,13,0.468085106,0.276595745,0.666666667,0.333333333,0.545454545,0.454545455,-0.333333333,-0.090909091,-0.191489362,0.25,0.266666667,8,16,5,6,1137.256875,1282.740937,1032.657,1181.25,1536.002969,1132.280333,14,7,0.444444444,0.6,0.5,0.4,0.5,0,1,1252.277,1033.298333,1747.028333,838.85625,510.15,1188.852,1
NOVS0805,52,34,18,21,25,0.403846154,0.480769231,0.586206897,0.413793103,0.235294118,0.764705882,-0.172413793,0.529411765,0.076923077,0.147058824,0.055555556,12,17,13,4,1547.700833,1005.975294,1282.961923,1882.39625,1449.142206,1487.920556,19,7,0.3,0.444444444,0.368421053,0.2,0.4,0.2,0.75,1475.621111,833.494,1220.735,687.746,1679.53,979.242,0.359283447
NOVS0807,59,35,24,34,25,0.576271186,0.423728814,0.685714286,0.314285714,0.416666667,0.583333333,-0.371428571,0.166666667,-0.152542373,0,0,11,24,14,10,1249.976364,853.3866667,1248.593214,751.9945,978.0291429,1041.677083,19,17,0.9,0.888888889,0.894736842,1,0.8,0.75,1,1007.57,976.493,978.954,991.803,1043.34,961.183,0.000728607
NOVS0808,55,34,21,12,27,0.218181818,0.490909091,0.473684211,0.526315789,0.15,0.85,0.052631579,0.7,0.272727273,0.441176471,0.047619048,10,9,17,3,817.6575,1380.996111,825.2976471,1069.588333,1236.982647,998.9004762,20,10,0.6,0.4,0.5,0.2,1,0,0.8,1222.392,1732.4435,1136.402,1495.667,1308.382,1969.22,1
NOVS0809,56,32,24,16,35,0.285714286,0.625,0.413793103,0.586206897,0.181818182,0.818181818,0.172413793,0.636363636,0.339285714,0.09375,0.083333333,17,12,18,4,1739.674118,1426.800417,1533.095556,2093.4775,1643.297031,1653.258125,15,11,0.5,0.888888889,0.733333333,0.666666667,0.333333333,0.75,1,925.0911111,1133.444167,918.032,1323.308333,933.915,943.58,0.118469238
NOVS0810,52,35,17,15,16,0.288461538,0.307692308,0.571428571,0.428571429,0.3,0.7,-0.142857143,0.4,0.019230769,0.4,0.411764706,9,12,7,3,1601.857222,2245.225,1746.009286,2068.313333,1856.545571,1807.566765,19,6,0.555555556,0.1,0.315789474,0.75,0.4,0,0.2,1836.437,1776.768889,1826.214,1946.894,1846.66,1564.1125,0.167068481
NOVS0811,56,36,20,26,18,0.464285714,0.321428571,0.689655172,0.310344828,0.4,0.6,-0.379310345,0.2,-0.142857143,0.194444444,0.25,9,20,9,6,2345.139444,1276.68275,1509.12,1782.054167,1543.165,1694.645,18,9,0.555555556,0.444444444,0.5,0.6,0.5,0,0.8,1332.681667,2166.815556,1263.099,1364.84625,1419.66,2808.391,1
NOVS0813,50,31,19,33,17,0.66,0.34,0.64516129,0.35483871,0.684210526,0.315789474,-0.290322581,-0.368421053,-0.32,0,0,11,20,6,13,715.0690909,717.4215,832.0825,806.8869231,716.5867742,814.8434211,19,11,0.444444444,0.7,0.578947368,0.6,0.25,0.6,0.8,834.365,965.9722222,599.231,1463.1075,1069.499,568.264,0.647605896
NOVS0814,58,40,18,40,16,0.689655172,0.275862069,0.666666667,0.333333333,0.823529412,0.176470588,-0.333333333,-0.647058824,-0.413793103,0.025,0.055555556,13,26,3,14,1427.075,1233.14,1800.253333,1500.9075,1338.20475,1631.046944,17,9,0.555555556,0.5,0.529411765,1,0,0.5,0.5,1708.38375,1222.872222,2222.115,1585.60375,1194.6525,932.687,1
NOVS0815,61,39,22,21,28,0.344262295,0.459016393,0.516129032,0.483870968,0.277777778,0.722222222,-0.032258065,0.444444444,0.114754098,0.205128205,0.181818182,15,16,13,5,999.9866667,1008.25625,842.8161538,1955.12,1217.276667,1105.952273,17,8,0.444444444,0.5,0.470588235,0.25,0.6,0.5,0.5,1958.906875,1120.458889,1978.57,1057.139,1939.24375,1199.60875,1
