ID,Type,Score
1,ND,0.149513514
2,ND,0.147567568
3,ND,0.139526316
4,ND,0.101714286
5,ND,0.27325
6,ND,0.259090909
7,ND,0.242702703
8,ND,0.242108108
9,ND,0.216470588
10,ND,0.212
11,ND,0.2108125
12,ND,0.194242424
13,ND,0.19225
14,ND,0.181647059
15,ND,0.180228571
16,ND,0.178540541
17,ND,0.177375
18,ND,0.175794872
19,ND,0.165657143
20,ND,0.151891892
21,ND,0.148378378
22,ND,0.136971429
23,ND,0.121212121
24,ND,0.110666667
25,ND,0.1035
26,ND,0.102647059
27,ND,0.065411765
28,ND,0.06
29,ND,0.290285714
30,ND,0.233485714
31,ND,0.221939394
32,ND,0.19675
33,ND,0.187722222
34,ND,0.183823529
35,ND,0.167314286
36,ND,0.165692308
37,ND,0.149785714
38,ND,0.138114286
39,ND,0.129
40,ND,0.127405405
41,ND,0.107096774
42,ND,0.10575
43,ND,0.103081081
44,ND,0.096117647
45,ND,0.0854375
46,ND,0.047111111
47,ND,0.039526316
48,ND,0.019214286
49,ND,0.1973125
50,ND,0.1890625
51,ND,0.15169697
52,D,0.369611111
53,D,0.325276596
54,D,0.280969697
55,D,0.265705882
56,D,0.255444444
57,D,0.243222222
58,D,0.2395
59,D,0.238615385
60,D,0.224514286
61,D,0.220555556
62,D,0.217052632
63,D,0.199666667
64,D,0.125473684
65,D,0.114833333
66,D,0.114057143
