Type,Score
T3-4,0.149513514
T3-4,0.147567568
T3-4,0.139526316
T3-4,0.101714286
T2,0.27325
T2,0.259090909
T2,0.242702703
T2,0.242108108
T2,0.216470588
T2,0.212
T2,0.2108125
T2,0.194242424
T2,0.19225
T2,0.181647059
T2,0.180228571
T2,0.178540541
T2,0.177375
T2,0.175794872
T2,0.165657143
T2,0.151891892
T2,0.148378378
T2,0.136971429
T2,0.121212121
T2,0.110666667
T2,0.1035
T2,0.102647059
T2,0.065411765
T2,0.06
T0-1,0.290285714
T0-1,0.233485714
T0-1,0.221939394
T0-1,0.19675
T0-1,0.187722222
T0-1,0.183823529
T0-1,0.167314286
T0-1,0.165692308
T0-1,0.149785714
T0-1,0.138114286
T0-1,0.129
T0-1,0.127405405
T0-1,0.107096774
T0-1,0.10575
T0-1,0.103081081
T0-1,0.096117647
T0-1,0.0854375
T0-1,0.047111111
T0-1,0.039526316
T0-1,0.019214286
T0-1,0.1973125
T0-1,0.1890625
T0-1,0.15169697
