0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
-1636.039375,573.1504762,,-1317.959167,-213.5750001,-1202.934333,110.3815,-169.3205682,-188.7799999,773.2865715,-1510.415556,-303.7195834,308.4310714,-1599.412667,-121.3777777,,-542.147619,-331.3131819,-1713.938958,-13.32250005,1252.895476,142.8496249,-450.7230952,-532.2333334,-386.28175,-323.3717778,33.12548614,,-220.2684616,144.515,-2061.376154,,-4.154722129,231.8695,-2715.778889,312.9375,-1020.225625,,107.1561111,-2743.435375,826.8651429,1238.512212,-581.6989285,273.149,,,,-1469.090909,-1736.76,111.9065,614.6488889,,-562.144,91.50750001,-1439.731806,,,387.3482727,-776.9587499,-107.73,-1948.441548,-359.56225,-444.6686364,-33.759,9.514090958,-1035.406143
-985.0510417,364.6385417,414.022,-66.42520837,,,,,409.977,196.173125,,,774.864875,637.0359722,-488.05,783.91125,,858.4444286,-308.6383334,-564.9510606,398.9475,309.0845833,134.658,,327.6385714,,64.61333332,-414.12,,,-178.51525,-8.038095262,-410.8669643,-1356.922083,179.0622917,-1217.88125,,-823.281,606.6725,106.7175,,-370.21375,1336.373333,-383.0511364,,351.2224176,556.2102222,223.8742857,,629.0465001,-428.5191667,-247.0176667,,-395.1476786,,,,,,,,652.5421429,-1354.043571,,-400.30925,-482.701875
352.2813333,311.1816964,,,-769.5283333,587.6676786,-31.18104168,-538.47875,317.8290909,,3132.222273,1220.718167,1536.03875,1428.315417,,48.17722223,52.2477381,-1600.904167,-3025.234375,1554.675714,901.54375,-2209.189,270.5225,,1409.728214,-22.21013889,828.4202381,-121.4952857,-1169.859333,1889.654375,-20.456,,,-182.5845714,410.3695,,-146.9145556,-14.91674999,120.1217856,-533.6008182,,-1452.852143,1305.492361,,216.531,,,-1595.701667,-96.36542858,-386.0480556,-449.4558333,-340.624,-549.6502857,,43.48228572,698.5940909,-831.7789583,,,523.9530556,-1119.959167,,,,-2315.664,
-297.6306061,536.1508333,253.245,-143.0636111,-73.99285713,-912.21875,-200.6975,-90.47291667,-410.1285065,-182.6868333,-1877.081042,-434.9176364,2.222571425,245.24875,37.03749999,-264.3745556,-592.35975,-1399.485303,456.3956667,1177.799583,57.19564286,-209.4804762,-266.8975001,654.17625,-790.1964583,-422.4451786,-1272.573,907.4917858,-344.7891667,1170.638,-1059.07,386.3429167,441.6695833,-42.78025641,-282.2636111,-491.4753571,-873.411875,326.7372222,-126.863,792.166,156.5225454,-144.6865,-48.57812499,-615.316,-207.0604999,-1748.6605,-2010.355795,-1152.959792,-2917.853056,-87.04450001,-1906.848205,459.0458333,7.357888891,-1679.576339,-1386.591786,8.674464313,-882.9516071,291.5725,394.4003333,-1421.44575,-83.40562508,-105.6377692,-830.9728571,-125.7738889,-71.28942306,-1237.223333
-449.8183333,-1058.564429,-114.2572917,-131.006875,171.1604286,,1979.133286,-275.1783333,-111.26375,-906.121875,128.9889583,-696.3111364,55.20056818,32.00033333,645.2118182,185.0932143,-613.654,,510.3427778,,293.53,,-1865.853542,,,355.6606494,-9.326833327,-1085.524286,650.2698333,-1097.114667,63.96675,429.705875,2218.878,-51.74,695.2318333,-769.1271429,286.2433333,1045.599444,651.660625,-431.9359821,-1514.052083,,-141.1577778,-126.2102381,1222.683889,-27.45291669,,-633.955,1674.7325,-1116.511417,364.4117857,-87.674,-9.904027779,,-1083.951,-104.0955556,-1873.260238,-218.88125,709.5604167,-2914.239773,1265.42,-1285.253333,-2071.557833,-1317.382556,-538.9242308,
-782.172,462.5936667,1694.986875,-36.289,31.52566666,1148.364375,1089.207917,-1275.499911,136.5718334,-787.4179464,1096.044286,489.6284091,-472.2058333,-306.2807143,388.66625,-544.8595834,2831.027857,112.395625,-351.5641667,-204.6219886,-481.4325,-52.711875,473.2806667,-1162.9225,-252.5533333,-1221.795667,-2360.627692,-241.5665,,-598.9583333,1231.678571,7.464333336,1040.566071,917.544875,-706.555625,-163.0445536,-725.4738889,-368.7205,832.5105556,-1008.063,304.6677778,146.005,188.2697727,,-436.90725,,704.2513333,-1085.925,-10.38425,-607.130625,1673.173,-729.365,479.3921429,120.8397778,12.45575,-2707.133929,-389.2773636,-849.49875,1163.032619,97.29225,-2071.464,508.5633334,-539.5557143,855.7310417,538.1358036,-1307.238667
676.9891667,121.3155556,-922.995,-509.5941667,215.1315476,,740.0446667,1056.3425,1173.229583,-1017.333542,-415.8237302,946.8014286,,-82.54757143,-193.5832143,,-753.918125,-207.0455,852.1031667,-631.7022917,515.4228571,173.8872619,205.594125,,-618.448875,,2543.126,,-415.0811111,486.7078571,-834.1007143,270.7016667,-247.3740151,269.236875,-543.6039286,2205.95375,-303.42625,,-389.1825,854.5821429,-554.1269445,,-1906.061429,-498.1888889,-538.3154166,,,,,-332.8839286,-1288.787,,400.390625,-953.5158333,-185.3141071,,,-217.0585714,-550.9079167,-84.30916667,-154.347381,-1398.074167,41.77142858,-282.994125,-55.66075,
42.17433333,-311.9273611,-574.869127,267.854625,,,148.189375,2032.889167,,-1178.910667,107.9033333,127.0925,,-433.4316667,-1952.590556,205.429,,290.0866667,1208.637333,-955.026625,-306.6497857,489.9004167,131.9796429,334.9644444,,-820.6835556,-5.776904761,-186.2971212,-382.1838889,56.935,1309.797083,-241.8657143,-1037.403286,-380.5938889,,328.2629167,-2263.328667,-1796.33125,-62.26316667,-740.3961667,,2234.22625,-621.29125,,255.472375,162.8922619,,-238.754125,-686.2955,-802.3568751,60.41055555,,,-344.8797619,-1016.576143,,-669.477,-448.92,-624.6127778,,915.61,-620.9647619,233.0625,-1150.565444,-337.9972917,-2390.920536
-21.86174998,1011.425,-826.1475,-289.2478571,903.9343333,450.913625,17.92214287,189.749,-1070.22375,-141.9725,-297.6028334,-546.4790477,-317.135625,229.558125,,-344.8942857,536.0711905,,393.1903333,298.759375,349.4822857,-540.3121667,-552.5265,,-607.1583333,-2095.658333,134.4639583,1304.263125,190.5120833,1281.213,88.6625,-134.1442857,,845.8017857,50.45785715,1374.394167,428.4407143,-789.6961905,-702.8671428,1034.545625,-178.7894047,-58.27555556,-291.6270833,-130.109,-146.2713889,-1977.158167,427.5771429,192.8352778,-357.3675,293.48625,-352.6635714,1295.887222,-1714.5385,-715.17475,1662.54,2375.302,,-367.63375,-928.7291667,-2147.134091,641.8154167,30.3415,-633.4895,593.1721429,-154.7325,-1542.9515
824.8611539,,1723.895,,95.56666667,-365.3480682,59.1619286,-166.9225001,2597.55375,67.78999997,,1151.026091,,351.215,-676.0608333,134.4590476,671.2608333,-262.95,627.045119,153.0092727,-365.5605556,-793.1244286,130.45,-757.8783334,495.9609028,,-1407.195833,381.7735714,-1106.736083,30.0691071,,,610.4410417,,,,1642.374286,440.6502382,-1542.151625,-318.0566071,-2705.1605,-173.6208334,,210.5232857,-18.3802778,,,-130.5684524,270.393125,890.331,-515.29375,-1570.28125,-1362.47525,-196.6229464,267.1775001,-1549.639167,992.9908333,1077.5435,1227.027778,1209.833333,,,,,-903.3,-302.0586111
