Set,Score SEM,Pos SEM
0,0.32339214,0.375426455
1,0.223832168,0.35130339
2,0.298679838,0.350616579
3,0.31207999,0.372677996
4,0.424405554,0.386683087
5,0.259353527,0.331623294
6,0.282636167,0.377334006
7,0.31565978,0.314888573
8,0.293766025,0.373023548
9,0.358077291,0.288675135
10,0.382551862,0.348466026
11,0.335950548,0.387125312
12,0.307033482,0.355805034
13,0.379407809,0.472581563
14,0.30091053,0.34503278
15,0.234782601,0.307834216
16,0.372752458,0.448415554
17,0.489725776,0.398751514
18,0.41516526,0.460680005
19,0.274050396,0.293919868
20,0.301141081,0.406123827
21,0.346553046,0.322785836
22,0.318942976,0.318143005
23,0.316107097,0.276887462
24,0.340664103,0.305800905
25,0.393061545,0.429008255
26,0.290822325,0.366746403
27,0.421468098,0.38094494
28,0.361820546,0.392161795
29,0.37488163,0.361708907
30,0.372359481,0.421325044
31,0.313852654,0.349528711
32,0.322844527,0.374827784
33,0.310951673,0.414087121
34,0.314813094,0.403243832
35,0.259881259,0.400484471
36,0.334845968,0.371149278
37,0.274156738,0.38323177
38,0.395337698,0.34165471
39,0.354640891,0.430550984
40,0.33309469,0.328253671
41,0.368004829,0.354338194
42,0.301695409,0.365779571
43,0.243801218,0.257639412
44,0.311597031,0.342436259
45,0.352059487,0.297277441
46,0.395642777,0.399620684
47,0.305888877,0.308137143
48,0.332668578,0.355902608
49,0.278146387,0.3122499
50,0.374843462,0.327773417
51,0.401541264,0.417494305
52,0.367527904,0.322945704
53,0.278425302,0.315285207
54,0.407074509,0.361708907
55,0.300571519,0.288193608
56,0.384694176,0.372540957
57,0.383904127,0.377176225
58,0.292482629,0.361018679
59,0.370299606,0.406453784
60,0.318065918,0.344123601
61,0.314661674,0.334198625
62,0.309993552,0.351982927
63,0.313984178,0.357778141
64,0.321092635,0.458257569
65,0.297392481,0.292150283
