44,50,65,19,21,60,63,55,48,58,39,37,49,24,42,15,38,32,20,47,34,33,61,8,23,36,0,31,25,54,56,16,4,2,7,51,29,12,62,64,6,13,22,45,17,26,41,27,5,30,53,3,57,18,59,52,14,28,35,9,10,1,40,43,46,11
0.648,-0.376,0.818,0.636,0.428,0.692,0.428,0.734,0.624,0.112,0.376,0.376,0.334,0.648,0.142,-0.454,0.5,0.058,0.4,0.25,-0.076,0.6,0.714,-0.384,0.474,0.112,0.23,0.334,0.376,0.334,0.538,0,0.5,0.166,0.166,0.648,0.666,0.286,0.444,0.058,0.124,-0.556,0,0,-0.124,0.286,0.692,0.142,1,0.636,0.09,-0.058,0.6,-0.2,-0.124,-0.25,-0.334,0.076,0,0.334,0.538,0.25,0.142,0.076,-0.4,-0.538
0.334,0.428,0.5,0.25,0.2,-0.142,0.176,0.23,0.556,0.334,0.454,-0.25,0.2,0.166,0.334,-0.09,0.112,0.142,0,0.818,0.454,0.286,-0.066,0.076,-0.23,0,0.5,0,0,0.142,0,-0.112,0.666,-0.142,0.714,0,-0.466,0.334,-0.142,-0.09,0.454,0.3,-0.272,0.2,0.334,0.142,0.142,-0.066,-0.23,-0.428,0.334,0.272,-0.23,-0.166,-0.076,0.4,-0.142,0.778,-0.5,-0.23,-0.428,0.176,-0.076,-0.272,-0.286,-0.8
0.334,0.428,0.166,0.384,0.142,0.142,-0.142,0.334,-0.09,0.166,-0.166,0,0.066,0,0.376,0.076,0.25,0.376,0,0.636,0.286,0.09,0.166,0.454,0,-0.124,-0.376,0.5,0.272,0.384,0.428,0.636,-0.5,0.334,0.272,-0.334,-0.176,-0.384,0,0.066,-0.066,0.09,-0.25,0.75,-0.286,0.466,-0.454,0.2,0.2,-0.5,0.166,0.272,0.5,-0.09,0.25,0.556,-0.09,0.334,0.286,-0.112,-0.272,-0.066,-0.334,0.058,-0.2,0.5
0.572,0.556,0.384,0.624,0.384,0.572,0.474,-0.066,-0.142,0.2,0.624,0.2,0.572,-0.158,-0.066,0.294,-0.23,0.75,0.23,0.09,0.444,0.4,0.176,0.294,0.334,0.2,0.294,-0.25,0.334,0.286,0.272,0,0.666,0.5,0.2,0.384,0,-0.166,0.376,0,0.2,0.538,-0.272,-0.222,0.294,-0.25,0.112,0.538,0.334,0.076,0.286,0.454,0.222,-0.376,0.058,-0.076,-0.286,0.376,0.2,0.166,-0.23,0.066,-0.286,0.176,-0.376,0
0.066,0.858,0.334,0.294,-0.142,0.112,0.538,0.23,-0.25,0.4,0.272,-0.2,0.2,0.454,0.5,0.5,1,-0.09,0.818,0.412,0.334,0,-0.384,-0.538,0.25,0.428,0.058,0.286,0.2,0.334,0.834,0.142,-0.142,0.556,0.076,0.124,0.25,-0.222,-0.066,0.166,-0.166,0.384,0.23,0.272,-0.25,0.25,0.444,-0.066,-0.272,-0.334,0.052,-0.5,0.2,0.334,-0.112,0.112,0.8,0.2,0.538,0.466,-0.572,0.076,0.334,0.09,0.166,0.412
0.412,0.124,0.23,0.334,0.6,-0.142,0.376,0,0.2,0.334,0.112,0,0,-0.2,0.75,0.2,0.294,0.428,-0.076,0.142,-0.142,0.166,0.428,0.142,0.714,0.666,-0.294,0.142,0,0.428,0.142,0.876,1,0.412,-0.428,0.714,-0.158,0.334,0.25,0.858,0.428,-0.334,0.076,0.572,0,-0.538,0.142,0.066,-0.066,0,0.124,-0.272,-0.734,-0.692,0.286,-0.25,0.264,0,-0.142,0.5,-0.23,-0.25,0.334,-0.5,0.444,0
0.264,0.23,0.714,0.076,-0.286,0.334,0.428,0,0.466,-0.25,0.334,0,0.272,-0.2,0.09,0.066,0,-0.124,0.384,0,-0.2,-0.334,0.09,0.23,0.334,0.75,0.272,0.112,0.692,0,0.076,0.076,0.066,0.428,0.5,0.454,0.2,0.09,0.2,0,0.286,0.334,0.294,0.058,0.176,0,0,-0.066,0.25,-0.09,-0.142,0.23,0.25,0.4,0.066,-0.2,-0.2,0.2,-0.334,0.454,0.166,0.4,0.142,-0.23,0.75,-0.124
0.176,0.286,0.538,0.286,0.23,0.286,-0.076,0.23,0.2,0.6,0.5,0.286,0.53,-0.166,0.5,0.2,-0.124,0.166,-0.2,0.384,0.272,0.5,-0.09,0.466,-0.142,0.466,0.538,0.25,0.066,0.112,0.5,-0.112,0.124,-0.376,0,-0.23,-0.286,0.286,0.2,-0.124,0.428,-0.076,0.166,0.454,-0.818,0,0.6,-0.09,0.412,0.75,0,0.25,0.23,0,-0.076,-0.066,0.2,0,0.376,0,0.454,0.166,0.454,0.176,-0.4,0.112
1,0.112,0.286,0,0,0.6,0.466,0.25,0.648,0.058,0,0.5,0.412,0.466,0.166,0.25,0.23,0.166,-0.142,0.428,0.412,0.384,0,0.176,0.286,-0.23,0.066,0.166,0.818,0.466,-0.538,0.294,0.556,0.286,-0.166,0.2,0,0.334,0,0.5,0,0.23,0.272,0.25,0.53,0.23,-0.334,-0.142,0.058,-0.454,0.428,-0.076,0.53,0.648,-0.428,0,0.636,0.648,0,0.376,-0.112,-0.334,-0.25,-0.166,0.124,0.25
