Subject_ID,trials_total,trials_chromatic,trials_diatonic,swapped_total,shifted_total,%_swapped,%_shifted,%_chromatic_swapped,%_chromatic_shifted,%_diatonic_swapped,%_diatonic_shifted,c_shifted-swapped,d_shifted-swapped,all_shifted-swapped,%_chromatic_neither,%_diatonic_neither,chromatic_shifted,chromatic_swapped,diatonic_shifted,diatonic_swapped,rt_chromatic_shifted,rt_chromatic_swapped,rt_diatonic_shifted,rt_diatonic_swapped,rt_chromatic,rt_diatonic,decoys_total,decoys_correct,%_correct_chromatic_decoys,%_correct_diatonic_decoys,%_correct_decoys,%_correct_chromatic_same_v_swapped,%_correct_chromatic_same_v_shifted,%_correct_diatonic_same_v_swapped,%_correct_diatonic_same_v_shifted,binom
OVS031,80,40,40,21,14,0.2625,0.175,0.5,0.5,0.684210526,0.315789474,0,-0.368421053,-0.0875,0.6,0.525,8,8,6,13,1294.871875,1855.431875,2223.0675,1413.16,1823.855625,2352.991125,20,1,0,0.1,0.05,0,0,0,0.2,4.01E-05
OVS032,80,40,40,26,29,0.325,0.3625,0.466666667,0.533333333,0.48,0.52,0.066666667,0.04,0.0375,0.25,0.375,16,14,13,12,883.2865625,900.5417857,802.3226923,912.3866666,937.10025,1677.221875,20,1,0.1,0,0.05,0.2,0,0,0,4.01E-05
OVS033,80,40,40,32,42,0.4,0.525,0.394736842,0.605263158,0.472222222,0.527777778,0.210526316,0.055555556,0.125,0.05,0.1,23,15,19,17,1229.535652,1503.582333,1185.502368,1125.019412,1391.932125,1294.9885,20,4,0.3,0.1,0.2,0.4,0.2,0.2,0,0.011817932
OVS034,80,40,40,41,38,0.5125,0.475,0.58974359,0.41025641,0.45,0.55,-0.179487179,0.1,-0.0375,0.025,0,16,23,22,18,1338.316875,1638.511304,1312.203864,1294.910556,1555.5195,1304.421875,20,9,0.4,0.5,0.45,0.4,0.4,0.6,0.4,0.823802948
OVS038,80,40,40,39,41,0.4875,0.5125,0.325,0.675,0.65,0.35,0.35,-0.3,0.025,0,0,27,13,14,26,1404.740185,1308.357308,1193.889286,770.0338462,1373.41575,918.38325,20,4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.011817932
OVS042,80,40,40,26,43,0.325,0.5375,0.411764706,0.588235294,0.342857143,0.657142857,0.176470588,0.314285714,0.2125,0.15,0.125,20,14,23,12,1177.9155,1034.250357,2056.531739,1411.559583,1394.187625,2340.9055,20,3,0.1,0.2,0.15,0,0.2,0,0.4,0.002576828
OVS050,80,40,40,17,53,0.2125,0.6625,0.176470588,0.823529412,0.305555556,0.694444444,0.647058824,0.388888889,0.45,0.15,0.1,28,6,25,11,862.5857143,1451.174167,667.586,994.9913637,989.878125,1002.850375,20,8,0.5,0.3,0.4,0.6,0.4,0.2,0.4,0.503444672
OVS053,80,40,40,22,58,0.275,0.725,0.275,0.725,0.275,0.725,0.45,0.45,0.45,0,0,29,11,29,11,476.5667241,770.6427273,613.5767241,819.8372727,557.437625,670.298375,20,4,0.2,0.2,0.2,0,0.4,0.2,0.2,0.011817932
OVS054,80,40,40,16,64,0.2,0.8,0.25,0.75,0.15,0.85,0.5,0.7,0.6,0,0,30,10,34,6,623.2933333,1285.75,805.8813235,893.2475,788.9075,818.98625,20,6,0.4,0.2,0.3,0.6,0.2,0,0.4,0.115318298
OVS056,80,40,40,27,53,0.3375,0.6625,0.3,0.7,0.375,0.625,0.4,0.25,0.325,0,0,28,12,25,15,1221.647143,1108.46875,1257.3612,1238.534,1187.693625,1250.301,20,10,0.6,0.4,0.5,0.4,0.8,0.2,0.6,1
